,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Crown,Crown,Crown,Fruit Size,Fruit Size,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Conspicuousness,Conspicuousness,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement
Oenocarpus bacaba,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,20.0,30.0,15.0,7.9,5.6,2.4,1.4,1.3,1.5,1.4,1.3,1.5
Oenocarpus balickii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,14.0,12.0,11.0,4.15,4.0,0.17,1.65,1.5,1.8,1.25,1.0,1.5
Oenocarpus bataua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,26.0,45.0,20.0,13.5,11.0,2.6,3.5,2.5,4.5,2.35,2.2,2.5
Oenocarpus distichus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,10.2,26.0,13.0,5.5,5.39,0.13,1.9,1.8,2.0,1.6,1.5,1.7
Oenocarpus makeru,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,8.0,8.0,12.0,2.75,2.5,0.28,2.4,2.2,2.6,1.55,1.4,1.7
Oenocarpus mapora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,15.0,20.0,8.0,6.7,5.0,1.8,2.5,2.0,3.0,2.0,1.5,2.5
Oenocarpus minor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,10.0,7.0,13.0,4.55,4.0,0.6,1.75,1.5,2.0,1.4,1.3,1.5
Oenocarpus simplex,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,4.0,1.8,8.0,1.18,0.9,0.31,2.45,2.2,2.7,1.35,1.3,1.4
Oncosperma horridum,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,25.0,25.0,25.0,6.0,4.0,2.1,1.7,1.5,2.0,1.7,1.5,2.0
Orania disticha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,20.0,23.0,12.0,4.3,3.0,1.35,5.75,5.5,6.0,5.75,5.5,6.0
Orania lauterbachiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,20.0,32.0,10.0,5.1,3.9,1.25,3.75,2.5,5.0,3.75,2.5,5.0
Orania longisquama,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,20.0,25.0,15.0,3.2,2.0,1.25,4.75,4.0,5.5,3.75,3.0,4.5
Orania palindan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,30.0,40.0,15.0,3.5,2.0,1.55,5.4,3.3,7.5,5.25,3.0,7.5
Orania ravaka,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,20.0,20.0,8.0,4.5,3.21,1.34,6.2,5.0,7.4,3.5,4.0,5.0
Orania trispatha,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,22.0,35.0,12.0,5.0,2.4,2.7,6.5,5.0,8.0,6.5,5.0,8.0
Parajubaea cocoides,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,16.0,45.0,30.0,4.0,2.8,1.25,4.75,4.0,5.5,3.4,2.8,4.0
Parajubaea torallyi,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,15.0,35.0,25.0,4.08,2.38,1.8,5.25,3.0,7.5,3.5,2.0,5.0
Phoenix dactylifera,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,30.0,60.0,50.0,5.0,4.5,0.55,7.0,4.0,7.0,3.0,2.0,3.0
Phoenix loureiroi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5.0,40.0,50.0,2.0,1.8,0.22,2.15,1.8,2.5,1.2,0.9,1.5
Phoenix reclinata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,15.0,30.0,40.0,4.5,4.2,0.33,1.9,1.8,2.0,1.1,0.9,1.3
Pholidocarpus macrocarpus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,40.0,40.0,50.0,1.1,1.0,2.75,11.5,10.0,13.0,11.0,10.0,12.0
Pholidostachys dactyloides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,10.0,12.0,25.0,3.53,2.31,1.27,1.215,0.8,1.63,0.792692308,0.58,1.15
Pholidostachys kalbreyeri,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,6.6,12.0,23.0,2.8,1.6,1.25,2.23,1.15,2.92,1.11,0.66,1.46
Pholidostachys pulchra,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,9.0,8.0,23.0,3.06,1.56,1.55,2.23,1.15,2.92,1.108679245,0.66,1.46
Pholidostachys synanthera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,12.0,22.0,27.0,2.6,1.24,1.41,1.385,1.0,1.77,0.84,0.61,1.05
Physokentia insolita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,15.0,17.5,8.0,2.175,1.8,0.43,1.2,1.1,1.3,1.2,1.0,1.3
Phytelephas macrocarpa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2.0,30.0,20.0,8.5,7.0,1.55,13.0,10.0,16.0,15.5,13.0,18.0
Pinanga arinasae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,12.0,15.0,10.0,3.3,2.15,0.22,1.45,1.2,1.7,1.0,0.8,1.2
Pinanga coronata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,10.0,10.0,7.0,3.0,2.0,0.95,1.3,1.1,1.5,0.8,0.6,1.0
Pinanga cupularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2.0,0.8,6.0,0.46,0.4,0.09,1.6,1.2,2.0,0.3,0.2,0.4
Pinanga declinata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5.0,5.5,7.0,1.63,1.11,0.57,1.75,1.5,2.0,0.6,0.5,0.7
Pinanga disticha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1.8,1.0,6.0,1.5,0.6,0.85,1.35,1.2,1.5,0.9,0.8,1.0
Pinanga javana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,10.0,15.0,10.0,3.0,2.7,0.33,2.3,2.0,2.6,1.3,1.1,1.4
Plectocomiopsis geminiflora,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,50.0,6.0,22.0,3.9,3.9,0.15,2.75,2.5,3.0,3.25,3.0,3.5
Pritchardia glabrata,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,5.0,20.0,16.0,1.05,0.5,0.6,2.5,2.0,3.0,2.25,2.0,2.5
Pritchardia schattaueri,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,40.0,30.0,30.0,1.9,1.8,2.2,4.0,3.0,5.0,3.5,3.0,4.0
Pseudophoenix ekmanii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6.0,80.0,12.0,3.0,1.61,1.44,1.3,1.18,1.43,1.685,1.17,2.2
Pseudophoenix lediniana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,20.0,30.0,17.0,3.1,2.36,0.79,2.12,1.72,2.51,1.8,1.48,2.17
Pseudophoenix sargentii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,8.0,30.0,16.0,2.84,1.65,1.24,1.39,1.06,1.71,1.305,0.91,1.7
Pseudophoenix vinifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,25.0,40.0,24.0,3.0,2.7,0.33,3.07,1.76,2.37,2.06,1.62,2.5
Raphia farinifera,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,25.0,60.0,12.0,20.0,18.5,1.55,7.5,5.0,10.0,4.5,3.5,5.5
Raphia taedigera,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,12.0,40.0,15.0,20.0,15.0,4.75,6.0,4.5,8.0,3.5,2.5,4.5
Ravenea glauca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,8.0,12.0,20.0,2.5,2.0,0.55,2.1,2.0,2.2,2.25,2.2,2.3
Ravenea hildebrandtii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6.0,6.0,25.0,1.5,0.99,0.56,0.95,0.9,1.0,0.65,0.5,0.8
Ravenea julietiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,10.0,15.0,23.0,3.6,2.8,0.85,2.45,2.2,2.7,1.85,1.7,2.0
Ravenea lakatra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,14.0,17.0,10.0,5.1,3.5,1.7,1.75,1.5,2.0,1.95,1.8,2.1
Ravenea louvelii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,3.0,20.0,14.0,4.3,3.0,1.35,1.35,1.3,1.4,1.75,1.5,2.0
Ravenea madagascariensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,12.0,22.0,26.0,3.8,3.0,0.85,0.75,0.5,1.0,0.875,0.75,1.0
Ravenea musicalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,8.0,40.0,16.0,2.0,1.8,0.22,2.0,1.7,2.3,1.65,1.4,1.9
Ravenea rivularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,30.0,50.0,25.0,2.0,1.8,0.22,0.825,0.75,0.9,0.775,0.7,0.85
Ravenea robustior,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,30.0,60.0,25.0,5.34,4.0,1.39,1.4,1.0,1.8,1.15,0.8,1.5
Ravenea sambiranensis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,30.0,29.0,28.0,2.5,2.26,0.26,1.1,1.0,1.2,0.95,0.9,1.0
Ravenea xerophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,8.0,30.0,22.0,2.7,2.1,0.65,1.85,1.5,2.2,2.2,1.7,2.7
Reinhardtia koschnyana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.7,0.8,14.0,0.45,0.17,0.08,1.2,1.1,1.3,0.7,0.6,0.8
Rhapis subtilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,3.0,2.5,18.0,0.5,0.34,0.18,0.775,0.6,0.95,0.79,0.63,0.95
Rhopaloblaste augusta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,25.0,30.0,11.0,4.1,4.0,0.12,2.4,2.2,2.6,1.6,1.0,2.2
Rhopaloblaste ceramica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,35.0,35.0,17.0,4.05,4.0,0.07,3.25,3.0,3.5,1.7,1.6,1.8
Rhopaloblaste ledermanniana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,30.0,19.0,13.0,4.0,3.8,0.22,1.825,1.55,2.1,1.0,0.8,1.2
Rhopaloblaste singaporensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5.0,4.0,8.0,2.5,1.8,0.75,1.1,1.0,1.2,0.85,0.8,0.9
Roystonea borinquena,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,15.0,50.0,15.0,5.05,4.5,0.6,1.3,1.1,1.5,1.1,0.9,1.3
Roystonea lenis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,20.0,47.0,15.0,6.5,5.8,0.75,1.25,1.1,1.4,0.95,0.8,1.1
Roystonea violacea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,15.0,34.0,15.0,4.4,3.6,0.85,1.3,1.2,1.4,0.8,0.7,0.9
Sabal etonia,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.0,25.0,7.0,1.0,1.82,0.2,1.2,0.9,1.5,1.05,0.8,1.3
Sabal mexicana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,20.0,81.0,25.0,1.6,2.0,4.35,1.45,1.0,1.9,1.4,1.1,1.7
Sabal minor,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.0,20.0,10.0,1.2,1.5,1.8,0.8,0.6,1.0,0.7,0.6,0.8
Sabal palmetto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,20.0,35.0,30.0,1.2,1.9,1.9,1.1,0.8,1.4,1.1,0.8,1.4
Socratea exorrhiza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,20.0,20.0,7.0,3.5,2.8,0.75,3.0,2.5,3.5,1.75,1.5,2.0
Socratea hecatonandra,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,20.0,30.0,7.0,4.55,4.0,0.6,4.5,4.0,5.0,2.25,2.0,2.5
Socratea salazarii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,16.0,12.0,7.0,3.17,2.5,0.72,3.0,2.5,3.5,2.25,2.0,2.5
Sommieria leucophylla,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0.0,4.0,40.0,2.185,1.8,0.8,1.2,0.9,1.5,1.15,0.8,1.5
Syagrus amara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,20.0,24.0,22.0,3.55,3.64,0.2,6.0,4.1,7.0,4.05,3.4,4.7
Syagrus botryophora,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,18.0,25.0,19.0,3.35,3.0,0.4,4.25,3.5,5.0,2.6,2.2,3.0
Syagrus campestris,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3.0,15.0,10.0,0.74,0.74,0.26,3.15,2.8,3.5,2.6,2.2,3.0
Syagrus cardenasii,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,4.0,10.0,12.0,3.0,1.6,1.45,3.1,2.0,4.2,1.85,1.7,2.0
Syagrus cearensis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,10.0,18.0,15.0,3.7,3.2,0.55,3.75,3.5,4.0,3.5,3.0,4.0
Syagrus cocoides,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,9.0,12.0,22.0,4.0,1.8,0.24,4.65,3.5,5.8,2.5,1.5,3.5
Syagrus comosa,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,7.0,15.0,12.0,1.67,1.4,0.44,2.6,2.0,3.2,1.75,1.4,2.1
