Unnamed: 0,Species,Main Trait,SIM,Dataset,Sentence,Result,GT Sub Traits
1163,Calotropis procera,flower shape,Bert,PlantNet,"Inflorescence a dense, multiflowered, umbellate cyme arising from the nodes and appearing axillary or terminal.",Can infer correct Entity,['Five-petalled flower']
1164,Piliostigma thonningii,flower color,Jacc,PlantNet,"The flower petals are white and the thick, calyces are covered in rust coloured hairs.",Can infer correct Value,['White flower']
1165,Jatropha curcas,tendril,Bert,PlantNet,Bulbs/Tubers/Corms/Rhizomes.,None of the above,['Plant without tendrils']
1166,Vitex madiensis,leaf margin,Bert,PlantNet,Leaves digitately compound with 5 leaflets.,Can infer correct Entity,"['Smooth leaf margin', 'Margin of crenate leaf']"
1167,Sterculia setigera,leaf apex,Bert,PlantNet,Young branches softly tomentose.,None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Leaf apex acuminate']"
1168,Cussonia arborea,vein,Bert,PlantNet,"Leaves digitately compound, petiole up to 87 cm.",None of the above,"['Pinnate venation with secondary veins intersecting the edge of the leaf blade', 'Pinnate venation with secondary veins connecting near the margin of the blade']"
1169,Acacia gourmaensis,bark,Jacc,PlantNet,In Ghana gesammeltes Exemplar.,None of the above,"['Bark peeling in patches', 'Cracked bark']"
1170,Ziziphus spina-christi,leaf base,Jacc,PlantNet,The leaf margin is notched almost smooth or hardly recognizable.,Can infer correct Entity,"['Rounded leaf base', 'Leaf base cordate']"
1171,Boscia angustifolia,leaf apex,Bert,PlantNet,"Gynophore shorter than the filaments at anthesis, generally glabrous, ovary ovoid to ellipsoid, stigma flatly capitate, borne on a very short thick style.",None of the above,"['Leaf apex with wide corners', 'Leaf apex mucronate', 'Leaf apex emarginated']"
1172,Ficus natalensis,crown,Jacc,PlantNet,The bark of young branches is brownish.,None of the above,['Regular density of the crown']
1173,Allophylus africanus,leaf apex,Bert,PlantNet,"Leaves trifoliolate, typically ± glabrous but hairy in variety, very discolorous, when glabrous dark and shiny above, leaflets narrowly elliptic to elliptic, 2 to 14.5 cm.",Can infer correct Entity,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Leaf apex acuminate', 'Rounded leaf apex']"
1174,Bridelia micrantha,phyllotaxis,Jacc,PlantNet,"It alternate or sometimes sub-alternately persisten spiral with the lamina broadly elliptic, with entire margin and an acuminate or acute apex.",Can infer correct Value,['Phyllotaxis alternate']
1175,Anacardium occidentale,petiole,Jacc,PlantNet,"Petiole 1-1.5 cm, leaf blade obovate, 8-11, 6-8.5 cm, leathery, glabrous on both sides, base broadly cuneate, margin entire, apex rounded, truncate to retuse, lateral veins ca.",Can infer correct Value,['Petiolated leaf']
1176,Pterocarpus santalinoides,fruit,Jacc,PlantNet,"The fruit is a pod 3.5 to 6 cm long, with a wing extending three-quarters around the margin.",Can infer correct Value,['Winged fruit']
1177,Pterocarpus santalinoides,fruit,Jacc,PlantNet,"The fruit is a pod 3.5 to 6 cm long, with a wing extending three-quarters around the margin.",Can infer correct Entity,['Winged fruit']
1180,Dalbergia sissoo,crown,Jacc,PlantNet,"The terminal leaflet is larger than the others, and there are 8-12 pairs of veins in the leaflets.",None of the above,['Regular density of the crown']
1181,Cordia africana,inflorescences,Bert,PlantNet,Conspicuous funnel-shaped white flowers in paniculate cymes.,Can infer correct Value,['Panicle of flowers or inflorescences']
1182,Calotropis procera,flower shape,Bert,PlantNet,Flowers/Inflorescences/Cones/Calyx.,None of the above,['Five-petalled flower']
1183,Calotropis procera,flower shape,Bert,PlantNet,Flowers/Inflorescences/Cones/Calyx.,Can infer correct Entity,['Five-petalled flower']
1184,Jatropha curcas,tendril,Bert,PlantNet,Flowers/Inflorescences/Cones/Calyx.,None of the above,['Plant without tendrils']
1185,Jatropha curcas,tendril,Bert,PlantNet,Flowers/Inflorescences/Cones/Calyx.,Can infer correct Entity,['Plant without tendrils']
1186,Piliostigma thonningii,flower color,Jacc,PlantNet,The small white flowers are not showy.,Can infer correct Value,['White flower']
1187,Vitex madiensis,leaf margin,Bert,PlantNet,"Calyx densely pubescent and glandular, tube 2 to 4 mm.",None of the above,"['Smooth leaf margin', 'Margin of crenate leaf']"
1188,Sterculia setigera,leaf apex,Bert,PlantNet,"Fruiting carpels usually 4 to 5, grey to brownish outside, beaked, velvety inside with pungent bristles along the placenta line.",None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Leaf apex acuminate']"
1189,Cussonia arborea,vein,Bert,PlantNet,"Leaves digitate or palmate with 5-9 ovate-elliptic leaflets, margin crenate or dentate, sometimes entire, petiole up to 50 cm long.",None of the above,"['Pinnate venation with secondary veins intersecting the edge of the leaf blade', 'Pinnate venation with secondary veins connecting near the margin of the blade']"
1190,Acacia gourmaensis,bark,Jacc,PlantNet,"Seeds round in outline, flattened, 8 to 10 mm in diameter, brown.",None of the above,"['Bark peeling in patches', 'Cracked bark']"
1191,Ziziphus spina-christi,leaf base,Jacc,PlantNet,Ziziphus Spina Christi is Evergreen tree with an irregular rounded crown.,None of the above,"['Rounded leaf base', 'Leaf base cordate']"
1192,Boscia angustifolia,leaf apex,Bert,PlantNet,"Leaves densely hairy on undersurface, upper surface glabrous or papillose.",Can infer correct Entity,"['Leaf apex with wide corners', 'Leaf apex mucronate', 'Leaf apex emarginated']"
1193,Ficus natalensis,crown,Jacc,PlantNet,"The widely spread, highly branching tree top often covers a diameter of 10 meters.",Can infer correct Value,['Regular density of the crown']
1194,Allophylus africanus,leaf apex,Bert,PlantNet,"Ovary 2-lobed, style 1·8 mm long, 2-fid.",None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Leaf apex acuminate', 'Rounded leaf apex']"
1195,Anacardium occidentale,petiole,Jacc,PlantNet,"Leaves glabrous, petiole 1 to 3 cm long, blade broadly obovate to oblong-obovate, 6.5 to 18 x 3.8 to 10 cm, obtuse to retuse at the apex, cuneate or rounded at the base, shiny, leathery, midrib and 7 to 14 pairs of lateral nerves very prominent beneath.",Can infer correct Value,['Petiolated leaf']
1196,Dalbergia sissoo,crown,Jacc,PlantNet,"It attains a height of up to 30 m and a girth of 2.4 m, the bole is often crooked.",Can infer correct Entity,['Regular density of the crown']
1197,Cordia africana,inflorescences,Bert,PlantNet,"Cymes arranged in terminal leafy usually ample panicles, rhachis and branches tawny or brown, minutely tomentose.",Can infer correct Value,['Panicle of flowers or inflorescences']
1198,Calotropis procera,flower shape,Bert,PlantNet,"Stem: Herbaceous, lower portions woody, aerial, erect, branched, cylindrical, solid, lower portions smooth, upper portions covered with woolly hairs, pale green, contains milky latex.",Can infer correct Entity,['Five-petalled flower']
1199,Piliostigma thonningii,flower color,Jacc,PlantNet,"Flowers medium to small, unisexual in racemes or panicles, white or pinkish tinged.",Can infer correct Value,['White flower']
1200,Jatropha curcas,tendril,Bert,PlantNet,"Cardiocrinum Giganteum 10 Seeds, Giant Himalayan Lily Fragrant Perennial Flowers.",None of the above,['Plant without tendrils']
1201,Vitex madiensis,leaf margin,Bert,PlantNet,"Calyx deep purplish-violet, obconical, 5-toothed, gland-dotted, pubescent to tomentose, accrescent in fruit, tube 2.5 to 3.5 mm long, teeth c. 0.7 to 1.5 mm long, erect, lobes 0.5 to 1.0 mm long, erect.",None of the above,"['Smooth leaf margin', 'Margin of crenate leaf']"
1202,Sterculia setigera,leaf apex,Bert,PlantNet,"Flowers with perianth green outside, red inside, widely campanulate, 9.5 to 13 mm long, 11 to 16 mm wide, divided into 5 oblong acute lobes, 5 to 9 mm long, 3 to 4 mm wide, outside velutinous, densely covered with short yellow-brown stellate hairs which completely obscure the epidermis, inside glabrous apart from the upper 2/3 to 3/4 of the lobes which more sparsely covered in patent white, simple hairs.",None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Leaf apex acuminate']"
1203,Cussonia arborea,vein,Bert,PlantNet,"The leaves are carried on long petioles, and have conspicuous stipules.",None of the above,"['Pinnate venation with secondary veins intersecting the edge of the leaf blade', 'Pinnate venation with secondary veins connecting near the margin of the blade']"
1204,Acacia gourmaensis,bark,Jacc,PlantNet,"Botany Shrub or small tree up to 4 m tall, bark thick, corky, with thin corky scales, grey to brown, twigs glabrous, yellowish, turning black when bark scales off, lenticellate, crown narrow and open, branchlets with paired, hooked spines, c. 5 mm long.",Can infer correct Quality,"['Bark peeling in patches', 'Cracked bark']"
1205,Ziziphus spina-christi,leaf base,Jacc,PlantNet,The alternate arranged leaves are divided into petiole and leaf blade.,Can infer correct Entity,"['Rounded leaf base', 'Leaf base cordate']"
1206,Boscia angustifolia,leaf apex,Bert,PlantNet,"Fruits spheroid or slightly ellipsoid, 10 to 12 mm.",None of the above,"['Leaf apex with wide corners', 'Leaf apex mucronate', 'Leaf apex emarginated']"
1207,Ficus natalensis,crown,Jacc,PlantNet,The ripe figs are orange-red and have a diameter of 2.0 to 2.5 cm.,None of the above,['Regular density of the crown']
1208,Allophylus africanus,leaf apex,Bert,PlantNet,"Leaves 3-foliolate, petiole up to 7 cm.",None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Leaf apex acuminate', 'Rounded leaf apex']"
1209,Anacardium occidentale,petiole,Jacc,PlantNet,"Leaves simple, alternate, somewhat crowded on twig apices, estipulate, petiole 7-15 mm, stout, swollen at base, glabrous, lamina 6-15.5 x 3-8 cm, obovate, base acute or cuneate, round, apex obtuse, round or retuse, margin entire, glabrous, shiny above, coriaceous, lateral nerves 10-15 pairs, parallel, prominent, intercostae reticulate, prominent, glands axillary on main nerves and its branches.",Can infer correct Value,['Petiolated leaf']
1210,Dalbergia sissoo,crown,Jacc,PlantNet,"Sepals.4-5 mm long, pubescent, the lobes short.",None of the above,['Regular density of the crown']
1211,Cordia africana,inflorescences,Bert,PlantNet,"Flowers hermaphrodite, sweetly scented, sessile, hairy, having much the appearance of artificial flowers made of crinkly paper, massed in compact conspicuous panicles of scorpioid cymes up to 14, 14 cm., shorter than the leaves.",Can infer correct Value,['Panicle of flowers or inflorescences']
1212,Calotropis procera,flower shape,Bert,PlantNet,"Stem round, usually simple, pale green, thickly covered with hoary pubescence which readily rubs off.",None of the above,['Five-petalled flower']
1213,Piliostigma thonningii,flower color,Jacc,PlantNet,The tree is perennial in nature and its petals are white to pinkish colour produced between November and April.,Can infer correct Value,['White flower']
1214,Jatropha curcas,tendril,Bert,PlantNet,Broadleaved Perennial Seed propagated Shrub Tree Woody.,None of the above,['Plant without tendrils']
1215,Vitex madiensis,leaf margin,Bert,PlantNet,"Calyx deep purplish-violet, obconical, 5-toothed, gland-dotted, pubescent to tomentose, accrescent in fruit, tube 2.5 to 3.5 mm long, teeth c. 0.7 to 1.5 mm",None of the above,"['Smooth leaf margin', 'Margin of crenate leaf']"
1216,Sterculia setigera,leaf apex,Bert,PlantNet,"Seeds with stout, peg-like stalks 2 to 3 mm long, persisting on old fruits, seeds ellipsoid, 11 to 12 mm long, 7 to 8 mm wide, greyblack, hilum sub-apical, round, 1 mm wide, at the margin of the aril, aril large, rounded, apical, 5 mm wide, 2 mm high, red, drying orange or red.",None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Leaf apex acuminate']"
1217,Cussonia arborea,vein,Bert,PlantNet,"Leaves simple, deeply palmately lobed or digitately compound with sessile leaflets, petiole up to 45 cm.",None of the above,"['Pinnate venation with secondary veins intersecting the edge of the leaf blade', 'Pinnate venation with secondary veins connecting near the margin of the blade']"
1218,Acacia gourmaensis,bark,Jacc,PlantNet,"Leaves alternate, bipinnately compound, with 3 to 4 pairs of pinnae, stipules linear, soon deciduous, petiole 0.5 to 1.5 cm long with small gland halfway, rachis 1 to 6 cm long, with or without gland at junction with top pinna pair, leaflets in 1 pair per pinna, 1 to 17 mm, 2.5 to 9 mm, asymmetrically ovate, glabrous.",None of the above,"['Bark peeling in patches', 'Cracked bark']"
1219,Ziziphus spina-christi,leaf base,Jacc,PlantNet,The upper leaf surface is bare and the underside is depending on variety glabrous or finely pubescent on the veins.,Can infer correct Entity,"['Rounded leaf base', 'Leaf base cordate']"
1220,Boscia angustifolia,leaf apex,Bert,PlantNet,"Leaves alternate, clearly spaced on shoots of the current year, in fascicles of 2 or more on the older wood, petiolate, blade oblanceolate, oblanceolate-elliptic to obovate, 2 to 5 cm.",Can infer correct Entity,"['Leaf apex with wide corners', 'Leaf apex mucronate', 'Leaf apex emarginated']"
1221,Ficus natalensis,crown,Jacc,PlantNet,In the inflorescences are three types of flowers: male and fertile and sterile female flowers.,None of the above,['Regular density of the crown']
1222,Allophylus africanus,leaf apex,Bert,PlantNet,"Seed ellipsoid, 5.5 to 6 mm.",None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Leaf apex acuminate', 'Rounded leaf apex']"
1223,Dalbergia sissoo,crown,Jacc,PlantNet,The mature flowers turn from white to yellow.,None of the above,['Regular density of the crown']
1224,Cordia africana,inflorescences,Bert,PlantNet,"The flowers are borne in broad, schirmrispigen inflorescences.",None of the above,['Panicle of flowers or inflorescences']
1225,Calotropis procera,flower shape,Bert,PlantNet,"Stamens 5, united with the stigma to form gynostegium, each stamen is represented by two pollinia with their retinaculae.",None of the above,['Five-petalled flower']
1226,Ficus vogelii,crown,Jacc,PlantNet,The stipule of Ficus religiosa.,None of the above,"['Regular density of the crown', 'Leaves grouped at the top of the axes']"
1227,Vernonia amygdalina,petiole,Bert,PlantNet,Leaves with petioles 0.2 to 1.5 cm.,Can infer correct Value,['Petiolated leaf']
1228,Hexalobus monopetalus,vein,Bert,PlantNet,The leaves have 6-15 pairs of secondary veins emanating from their midribs at angles of 50°-80° that arch and connect with one another near the leaf margins.,Can infer correct Value,['Pinnate venation with secondary veins connecting near the margin of the blade']
1229,Acacia mellifera,bark,Jacc,PlantNet,"Bark light to dark grey and longitudinally fissured, fissures generally darker.",Can infer correct Quality,"['Smooth bark', 'Finely fissured bark']"
1230,Tamarindus indica,trunk and root,Jacc,PlantNet,Straight trunk with pendulous branches.,Can infer correct Value,['Base of trunk straight']
1231,Acacia amythethophylla,leaf margin,Bert,PlantNet,"Stipules spinescent, stout, brown, glossy, compressed, up to 1.6 cm.",None of the above,['Smooth leaf margin']
1232,Tinospora bakis,inflorescences,Bert,PlantNet,"Inflorescence an axillary, elongate false raceme up to 12 cm long, male inflorescence with 3 to 7-flowers per bract, female one with 1 flower per bract.",Can infer correct Value,"['Rootlet or cluster of flowers or inflorescences', 'Fascicle of flowers or inflorescences']"
1233,Trema orientalis,petiole,Bert,PlantNet,"Stamens 5, stigmas villous, reflexed in fruits.",None of the above,['Petiolated leaf']
1234,Cordia africana,leaf blade,Jacc,PlantNet,The leaf undersides are hairy brown.,Can infer correct Entity,"['lanceolate blade', 'elliptical blade', 'asymmetrical blade', 'orbicular blade']"
1235,Acacia polyacantha ssp. campylacantha,leaf shape,Bert,PlantNet,"Leaves: Paripinnate, alternate, axis 4-20 cm long, slender, velvet-hairy, softly prickled, pulvinate, a gland at the base on upper side, sidestalks 15-25 pairs, 4-5 cm long, slender, velvet-hairy, glands between uppermost 4 pairs, leaflets are 30-50, opposite, stalkless, blade 5-7 × 0.5-1 mm, densely velvet-hairy, papery, base flat, tip subpointed or blunt, margin fringed with hairs, midrib near distal margin, lateral nerves and intercostae obscure.",Can infer correct Quality,['Bipinnate leaf']
1236,Piliostigma thonningii,fruit,Jacc,PlantNet,"Fruit an oblong to linear-oblong pod 12 to 30 cm, 3 to 7 cm, woody, brown-pubescent when young but later glabrescent, persisting on the tree but finally decaying on the ground, many-seeded.",Can infer correct Value,['Pod']
1237,Antidesma venosum,leaf margin,Bert,PlantNet,Leaves:petioles 3 to 7 mm.,Can infer correct Entity,['Smooth leaf margin']
1238,Vernonia colorata,flower shape,Bert,PlantNet,Bushy shrub with broad oval leaves with wavy margins.,None of the above,['Flower with 6 or more petals']
1239,Commiphora pedunculata,leaf shape,Bert,PlantNet,"Leaves pinnate with leaflets 2 to 5-jugate, or very occasionally 3-foliolate, petiole up to 3 cm.",Can infer correct Value,['Unipinnate leaf with opposite leaflets']
1240,Citrus limon,plant type,Jacc,PlantNet,"Small tree 3 to 6 m. high, with stout stiff thorns.",Can infer correct Value,"['Tree', 'Shrub']"
1241,Ficus sycomorus ssp. gnaphalocarpa,leaf blade,Jacc,PlantNet,A leaf in which the lamina is undivided.,Can infer correct Entity,"['elliptical blade', 'orbicular blade']"
1242,Crescentia cujete,inflorescences,Bert,PlantNet,"Inflorescence one or two cauliflorous flowers borne on larger branches or trunk, the pedicels lepidote, 1.5 cm long.",Can infer correct Quality,"['Flower isolated or in groups of 2 or 3', 'Fascicle of flowers or inflorescences']"
1243,Salix subserrata,inflorescences,Jacc,PlantNet,Deciduous shrub or small tree.,None of the above,['Spike of flowers or inflorescences']
1247,Erythrophleum africanum,leaf base,Bert,PlantNet,Calyx-lobes 1.5 to 2.5 mm.,None of the above,['Rounded leaf base']
1248,Ficus vogelii,crown,Jacc,PlantNet,"The leaves of the plants are simple, entire or lobate.",None of the above,"['Regular density of the crown', 'Leaves grouped at the top of the axes']"
1249,Vernonia amygdalina,petiole,Bert,PlantNet,"Morphology Capitula very numerous in terminal, divaricately branching, rounded panicles, stalks 3 to 12 mm.",None of the above,['Petiolated leaf']
1250,Hexalobus monopetalus,vein,Bert,PlantNet,"Leaves alternate, held in one plane, oblong-elliptic to obovate with variously covered in short reddish hairs on the undersurface, sometimes only along the midrib.",Can infer correct Entity,['Pinnate venation with secondary veins connecting near the margin of the blade']
1251,Acacia mellifera,bark,Jacc,PlantNet,The bark is purplish-black on the young stems and turns grey with age.,Can infer correct Entity,"['Smooth bark', 'Finely fissured bark']"
1252,Tamarindus indica,trunk and root,Jacc,PlantNet,The seed consists of 30% hard brown seed coat and 70% kernel.,None of the above,['Base of trunk straight']
1253,Acacia amythethophylla,leaf margin,Bert,PlantNet,"Pinnae sometimes 20 or more pairs, with 50 or more pairs of leaflets.",Can infer correct Entity,['Smooth leaf margin']
1254,Tinospora bakis,inflorescences,Bert,PlantNet,Twiner with perennial rootstock.,None of the above,"['Rootlet or cluster of flowers or inflorescences', 'Fascicle of flowers or inflorescences']"
1255,Trema orientalis,petiole,Bert,PlantNet,"The leaves are simple, alternate, stipulate although the stipules drop early, and usually 3-nerved from the base.",Can infer correct Entity,['Petiolated leaf']
1256,Cordia africana,leaf blade,Jacc,PlantNet,The leaf margin is notched smooth or only slightly.,Can infer correct Entity,"['lanceolate blade', 'elliptical blade', 'asymmetrical blade', 'orbicular blade']"
1257,Acacia polyacantha ssp. campylacantha,leaf shape,Bert,PlantNet,"Flowers: Bisexual, 4 mm across, white, in leaf-axils solitary or paired spikes, to 8 cm, flower-cluster-stalk to 1 cm, bracts to 6 mm, bracteoles cauducous, calyx 5-lobed, to 1.5 mm, woolly, flower to 3 mm long, lobes 5, stamens many, to 4 mm, basally fused, ovary stipitate, oblong, to 1 mm, style to 4 mm.",None of the above,['Bipinnate leaf']
1258,Piliostigma thonningii,fruit,Jacc,PlantNet,"The root yields a red-brown or black dye, and the fruit and seeds a black or blue one.",None of the above,['Pod']
1259,Antidesma venosum,leaf margin,Bert,PlantNet,"Stipules simple, narrowly lanceolate to linear-lanceolate, 4 to 8 mm.",None of the above,['Smooth leaf margin']
1260,Vernonia colorata,flower shape,Bert,PlantNet,"Fluffy, pale lilac flowers in dense terminal clusters appear in autumn.",Can infer correct Entity,['Flower with 6 or more petals']
1262,Dichrostachys cinerea,leaf shape,Jacc,PlantNet,The species is most commonly known as the 'sickle bush' derived from the curved shape of the pods.,None of the above,['Bipinnate leaf']
1263,Citrus limon,plant type,Jacc,PlantNet,"Fragrant, Plant of Merit, Showy, Evergreen, Fruit & Berries.",None of the above,"['Tree', 'Shrub']"
1264,Ficus sycomorus ssp. gnaphalocarpa,leaf blade,Jacc,PlantNet,They are borne in thick clusters on long branchlets or the leaf axil.,None of the above,"['elliptical blade', 'orbicular blade']"
1265,Crescentia cujete,inflorescences,Bert,PlantNet,"Green oblanceolate leaves, alternate arrangement, measuring about 4 - 26 cm long and 1 - 7.5 cm wide, subsessile, yellow tubular flowers with purple veins, solitary or sometimes paired and about 5 cm long, musty fragrance.",Can infer correct Quality,"['Flower isolated or in groups of 2 or 3', 'Fascicle of flowers or inflorescences']"
1266,Erythrophleum africanum,leaf base,Bert,PlantNet,"Leaves alternate, bipinnately compound with 3 to 4 pairs of opposite pinnae, stipules minute, petiole 3.5 to 5.5 cm long, rachis 3 to 15 cm long, leaflets alternate, 8 to 17 per pinna, elliptical or ovate, up to 6.5 cm, 3.5 cm, base asymmetrical, apex obtuse to rounded.",Can infer correct Quality,['Rounded leaf base']
1267,Ficus vogelii,crown,Jacc,PlantNet,"All plant parts of species belonging to the genus Ficus contain white to yellowish milky latex, rarely aqueous.",None of the above,"['Regular density of the crown', 'Leaves grouped at the top of the axes']"
1268,Vernonia amygdalina,petiole,Bert,PlantNet,"Leaves alternate, simple, stipules absent, petiole 0.2 to 4 cm long, blade ovate-elliptical to lanceolate, 4 to 15 cm, 1 to 4 cm, cuneate or rounded at base, shortly acuminate at apex, margin minutely toothed to coarsely serrate, finely pubescent but often glabrescent, pinnately veined.",Can infer correct Value,['Petiolated leaf']
1269,Hexalobus monopetalus,vein,Bert,PlantNet,"Petals yellow or cream, thin, subequal, the inner whorl narrower, 10 to 20 mm.",None of the above,['Pinnate venation with secondary veins connecting near the margin of the blade']
1270,Acacia mellifera,bark,Jacc,PlantNet,"The bark varies from light to dark grey and is longitudinally fissured, these fissures are generally darker.",Can infer correct Quality,"['Smooth bark', 'Finely fissured bark']"
1271,Tamarindus indica,trunk and root,Jacc,PlantNet,A graceful ornamental tree with racemes of pea-like flowers and edible pods.,Can infer correct Entity,['Base of trunk straight']
1272,Acacia amythethophylla,leaf margin,Bert,PlantNet,"Leaves large, pinnae 7-14 pairs.",Can infer correct Entity,['Smooth leaf margin']
1273,Tinospora bakis,inflorescences,Bert,PlantNet,Liane with branchlets glabrous and verrucose with lenticels.,None of the above,"['Rootlet or cluster of flowers or inflorescences', 'Fascicle of flowers or inflorescences']"
1274,Trema orientalis,petiole,Bert,PlantNet,"Axillary, pubescent fascicled cymes, sometimes dichotomously branched cymes and longer than petioles.",None of the above,['Petiolated leaf']
1275,Cordia africana,leaf blade,Jacc,PlantNet,"The simple, stiff leathery leaf blades are ovate to broadly ovate, sometimes elliptic to almost circular, with almost pointed or heart-shaped and often asymmetric Spreitenbasis and rounded and suddenly at a length of 6 to 21 centimeters and a width of 4 to 16.5 centimeters.short spitzzulaufendem or sometimes acute upper end.",Can infer correct Value,"['lanceolate blade', 'elliptical blade', 'asymmetrical blade', 'orbicular blade']"
1276,Acacia polyacantha ssp. campylacantha,leaf shape,Bert,PlantNet,"Fruit/seeds: Pod, stipitate, 8 x 1.5 cm, hairless, grey, woody, oblong, base and tip horned, seeds 5-8.",None of the above,['Bipinnate leaf']
1277,Antidesma venosum,leaf margin,Bert,PlantNet,"Leaf blade leathery, dark glossy green, lower surface is covered with rusty hairs and has prominent venation looping along margin, paler green below with midrib raised and margins smooth.",Can infer correct Value,['Smooth leaf margin']
1278,Vernonia colorata,flower shape,Bert,PlantNet,"The flowerheads are star-shaped, forming large terminal clusters, mauve when young but soon turning white, appearing in winter.",Can infer correct Entity,['Flower with 6 or more petals']
1280,Dichrostachys cinerea,leaf shape,Jacc,PlantNet,The petioles are up to 50 mm long and the leaf length varies between 10 and 160 mm.,Can infer correct Entity,['Bipinnate leaf']
1281,Citrus limon,plant type,Jacc,PlantNet,An evergreen tree bearing yellow skinned acidic fruit with yellow pulp.,Can infer correct Value,"['Tree', 'Shrub']"
1283,Salix subserrata,inflorescences,Jacc,PlantNet,"Female flowers 15 to 30, each subtended by a persistent ovate or obovate acute bract 2 to 3.5 mm.",Can infer correct Value,['Spike of flowers or inflorescences']
1284,Erythrophleum africanum,leaf base,Bert,PlantNet,"Calyx 1.5 to 2.5 mm long, the lobes free almost to the base, grey-brown pubescent.",None of the above,['Rounded leaf base']
1285,Ficus vogelii,crown,Jacc,PlantNet,"The male flowers have a perianth consisting of 2 to 6 segments and bearing 1 to 3 stamens, the female flowers have a perianth consisting of 2 to 7 segments and bearing 1 to 2 stigmas.",None of the above,"['Regular density of the crown', 'Leaves grouped at the top of the axes']"
1286,Vernonia amygdalina,petiole,Bert,PlantNet,"Inflorescence a head, arranged in terminal, compound, umbel-like cymes, stalk of head up to 1 cm long, pubescent, involucre cylindrical to broadly ellipsoid, 3 to 5 mm long, bracts 3 to 7-seriate, 1 to 4.5 mm long, appressed.",None of the above,['Petiolated leaf']
1287,Hexalobus monopetalus,vein,Bert,PlantNet,The margins of the inner petals are curved back to form hollow chambers in the basal tube.,None of the above,['Pinnate venation with secondary veins connecting near the margin of the blade']
1288,Tamarindus indica,trunk and root,Jacc,PlantNet,Leaves are alternate and paripinnate-each with 9 to 12 pairs of small leaflets.,None of the above,['Base of trunk straight']
1289,Acacia amythethophylla,leaf margin,Bert,PlantNet,"Leaves large, 10 to 20 cm.",Can infer correct Entity,['Smooth leaf margin']
1290,Tinospora bakis,inflorescences,Bert,PlantNet,"Female flowers in 7 to 12 cm long inflorescences, carpels 1.2 to 1.8 mm long.",Can infer correct Quality,"['Rootlet or cluster of flowers or inflorescences', 'Fascicle of flowers or inflorescences']"
1291,Trema orientalis,petiole,Bert,PlantNet,"Leaves: Ovate-lanceolate, acuminate at apex, rounded or obliquely cordate at base, crenate-serrate along the margins, hispid above, white tomentose beneath, petiolate, petioles pubescent, terete ventrally grooved, stipules deciduous.",Can infer correct Value,['Petiolated leaf']
1292,Acacia polyacantha ssp. campylacantha,leaf shape,Bert,PlantNet,"Stipular spines are infra-in leaf-axils, 8-10 mm long, paired, straight or hooked, occasionally lacking on flowering branches.",None of the above,['Bipinnate leaf']
1293,Antidesma venosum,leaf margin,Bert,PlantNet,"Stipules 2 to 8 mm, lanceolate to linear-lanceolate, acute, evenly to densely pubescent or tomentose, subpersistent.",None of the above,['Smooth leaf margin']
1294,Vernonia colorata,flower shape,Bert,PlantNet,The roundish leaves are very hairy and the star-shaped flowerheads form large terminal clusters.,Can infer correct Entity,['Flower with 6 or more petals']
1296,Dichrostachys cinerea,leaf shape,Jacc,PlantNet,"The flowers are 25 to 50 mm long, pendulous spikes that are borne in the leaf axils, singly or in bundles.",None of the above,['Bipinnate leaf']
1298,Salix subserrata,inflorescences,Jacc,PlantNet,"Flowers 15 to over 30, each subtended by a persistent ovate or obovate acute bract 2 to 3.5 mm.",Can infer correct Value,['Spike of flowers or inflorescences']
1299,Erythrophleum africanum,leaf base,Bert,PlantNet,"Petals 2.5 to 3.5 mm long, pubescent.",None of the above,['Rounded leaf base']
1300,Ficus vogelii,crown,Jacc,PlantNet,"Flowers are found on the same or different plants, and they produced in the interior of an axillary inflorescence which forms the syconium.",None of the above,"['Regular density of the crown', 'Leaves grouped at the top of the axes']"
1301,Vernonia amygdalina,petiole,Bert,PlantNet,"Leaves petiolate, elliptic, lanceolate or ovate, 4-15 cm long, 1.2-4 cm wide, base cuneate or rounded, margins minutely remotely denticulate to coarsely serrate, apex shortly acuminate, apiculate, rather thinly pubescent and glabrescent except for the midrib above, finely crispate-pubescent especially on the veins and often ± glabrescent beneath, petiole 0.2-4 cm long.",Can infer correct Value,['Petiolated leaf']
1302,Hexalobus monopetalus,vein,Bert,PlantNet,"Sepals ovate-elliptic, 4 to 6 mm.",None of the above,['Pinnate venation with secondary veins connecting near the margin of the blade']
1303,Tamarindus indica,trunk and root,Jacc,PlantNet,"Of the five petals, the posterior and lateral petals are large and showy and slightly exceed the calyx, oblong in shape.",None of the above,['Base of trunk straight']
1304,Acacia amythethophylla,leaf margin,Bert,PlantNet,"Leaves large, 10-20 cm.",Can infer correct Entity,['Smooth leaf margin']
